tanggal,komoditas,harga
2026-02-19 18:44:55.212047,Cabai Rawit,75919.74576271186
2026-02-20 18:44:55.212046,Cabai Rawit,76609.45762711865
2026-02-21 18:44:55.212044,Cabai Rawit,78221.16949152542
2026-02-22 18:44:55.212042,Cabai Rawit,79566.88135593222
2026-02-23 18:44:55.212041,Cabai Rawit,76847.59322033898
2026-02-24 18:44:55.212039,Cabai Rawit,76326.30508474576
2026-02-25 18:44:55.212038,Cabai Rawit,81912.01694915254
2026-02-26 18:44:55.212036,Cabai Rawit,78467.72881355933
2026-02-27 18:44:55.212034,Cabai Rawit,83805.44067796611
2026-02-28 18:44:55.212032,Cabai Rawit,80016.15254237287
2026-03-01 18:44:55.212030,Cabai Rawit,81891.86440677967
2026-03-02 18:44:55.212028,Cabai Rawit,83149.57627118644
2026-03-03 18:44:55.212024,Cabai Rawit,85928.28813559322
2026-03-04 18:44:55.212008,Cabai Rawit,85214.0
2026-01-04 18:44:55.212117,Bawang Merah,34017.0
2026-01-05 18:44:55.212115,Bawang Merah,33347.50847457627
2026-01-06 18:44:55.212114,Bawang Merah,33568.016949152545
2026-01-07 18:44:55.212112,Bawang Merah,34056.52542372882
2026-01-08 18:44:55.212111,Bawang Merah,34239.03389830508
2026-01-09 18:44:55.212109,Bawang Merah,33869.542372881355
2026-01-10 18:44:55.212108,Bawang Merah,34894.05084745763
2026-01-11 18:44:55.212106,Bawang Merah,34398.5593220339
2026-01-12 18:44:55.212104,Bawang Merah,34916.06779661017
2026-01-13 18:44:55.212103,Bawang Merah,32214.576271186437
2026-01-14 18:44:55.212101,Bawang Merah,31961.08474576271
2026-01-15 18:44:55.212100,Bawang Merah,31639.593220338982
2026-01-16 18:44:55.212098,Bawang Merah,32618.101694915254
2026-01-17 18:44:55.212097,Bawang Merah,32825.61016949153
2026-01-18 18:44:55.212096,Bawang Merah,33999.1186440678
2026-01-19 18:44:55.212094,Bawang Merah,31242.627118644068
2026-01-20 18:44:55.212093,Bawang Merah,32234.13559322034
2026-01-21 18:44:55.212091,Bawang Merah,31192.64406779661
2026-01-22 18:44:55.212090,Bawang Merah,31794.15254237288
2026-01-23 18:44:55.212088,Bawang Merah,30814.661016949154
2026-01-24 18:44:55.212086,Bawang Merah,30392.169491525423
2026-01-25 18:44:55.212085,Bawang Merah,31327.677966101695
2026-01-26 18:44:55.212083,Bawang Merah,31962.186440677968
2026-01-27 18:44:55.212082,Bawang Merah,32370.694915254237
2026-01-28 18:44:55.212080,Bawang Merah,29682.20338983051
2026-01-29 18:44:55.212079,Bawang Merah,32058.71186440678
2026-01-30 18:44:55.212077,Bawang Merah,30400.22033898305
2026-01-31 18:44:55.212075,Bawang Merah,29481.728813559323
2026-02-01 18:44:55.212074,Bawang Merah,31354.23728813559
2026-02-02 18:44:55.212073,Bawang Merah,28921.745762711864
2026-02-03 18:44:55.212071,Bawang Merah,28701.254237288136
2026-02-04 18:44:55.212070,Bawang Merah,29321.76271186441
2026-02-05 18:44:55.212068,Bawang Merah,29484.271186440677
2026-02-06 18:44:55.212067,Bawang Merah,30590.77966101695
2026-02-07 18:44:55.212065,Bawang Merah,29940.28813559322
2026-02-08 18:44:55.212063,Bawang Merah,30066.79661016949
2026-02-09 18:44:55.212062,Bawang Merah,28236.305084745763
2026-02-10 18:44:55.212060,Bawang Merah,28441.813559322036
2026-02-11 18:44:55.212059,Bawang Merah,29309.322033898305
2026-02-12 18:44:55.212057,Bawang Merah,28409.830508474577
2026-02-13 18:44:55.212056,Bawang Merah,28257.338983050846
2026-02-14 18:44:55.212055,Bawang Merah,28181.84745762712
2026-02-15 18:44:55.212053,Bawang Merah,29137.35593220339
2026-02-16 18:44:55.212051,Bawang Merah,28722.864406779663
2026-02-17 18:44:55.212050,Bawang Merah,26078.372881355932
2026-02-18 18:44:55.212049,Bawang Merah,26007.881355932204
2026-02-19 18:44:55.212047,Bawang Merah,26908.389830508473
2026-02-20 18:44:55.212046,Bawang Merah,25989.898305084746
2026-02-21 18:44:55.212044,Bawang Merah,25373.406779661018
2026-02-22 18:44:55.212042,Bawang Merah,27537.91525423729
2026-02-23 18:44:55.212041,Bawang Merah,25976.42372881356
2026-02-24 18:44:55.212039,Bawang Merah,27337.93220338983
2026-02-25 18:44:55.212038,Bawang Merah,27313.4406779661
2026-02-26 18:44:55.212036,Bawang Merah,27205.949152542373
2026-02-27 18:44:55.212034,Bawang Merah,26145.457627118645
2026-02-28 18:44:55.212032,Bawang Merah,26590.966101694918
2026-03-01 18:44:55.212030,Bawang Merah,26492.474576271186
2026-03-02 18:44:55.212028,Bawang Merah,24214.98305084746
2026-03-03 18:44:55.212024,Bawang Merah,23678.491525423728
2026-03-04 18:44:55.212008,Bawang Merah,25451.0
2026-01-04 18:44:55.212117,Beras Premium,15287.0
2026-01-05 18:44:55.212115,Beras Premium,15199.0
2026-01-06 18:44:55.212114,Beras Premium,14713.0
2026-01-07 18:44:55.212112,Beras Premium,15191.0
2026-01-08 18:44:55.212111,Beras Premium,15071.0
2026-01-09 18:44:55.212109,Beras Premium,14944.0
2026-01-10 18:44:55.212108,Beras Premium,15260.0
2026-01-11 18:44:55.212106,Beras Premium,15130.0
2026-01-12 18:44:55.212104,Beras Premium,15101.0
2026-01-13 18:44:55.212103,Beras Premium,14828.0
2026-01-14 18:44:55.212101,Beras Premium,15242.0
2026-01-15 18:44:55.212100,Beras Premium,15236.0
2026-01-16 18:44:55.212098,Beras Premium,14845.0
2026-01-17 18:44:55.212097,Beras Premium,15204.0
2026-01-18 18:44:55.212096,Beras Premium,15038.0
2026-01-19 18:44:55.212094,Beras Premium,15127.0
2026-01-20 18:44:55.212093,Beras Premium,14806.0
2026-01-21 18:44:55.212091,Beras Premium,15254.0
2026-01-22 18:44:55.212090,Beras Premium,15175.0
2026-01-23 18:44:55.212088,Beras Premium,14769.0
2026-01-24 18:44:55.212086,Beras Premium,14983.0
2026-01-25 18:44:55.212085,Beras Premium,14821.0
2026-01-26 18:44:55.212083,Beras Premium,14706.0
2026-01-27 18:44:55.212082,Beras Premium,14717.0
2026-01-28 18:44:55.212080,Beras Premium,15219.0
2026-01-29 18:44:55.212079,Beras Premium,14911.0
2026-01-30 18:44:55.212077,Beras Premium,14843.0
2026-01-31 18:44:55.212075,Beras Premium,15046.0
2026-02-01 18:44:55.212074,Beras Premium,15175.0
2026-02-02 18:44:55.212073,Beras Premium,15188.0
2026-02-03 18:44:55.212071,Beras Premium,15148.0
2026-02-04 18:44:55.212070,Beras Premium,14759.0
2026-02-05 18:44:55.212068,Beras Premium,15017.0
2026-02-06 18:44:55.212067,Beras Premium,15142.0
2026-02-07 18:44:55.212065,Beras Premium,14988.0
2026-02-08 18:44:55.212063,Beras Premium,14979.0
2026-02-09 18:44:55.212062,Beras Premium,15135.0
2026-02-10 18:44:55.212060,Beras Premium,15184.0
2026-02-11 18:44:55.212059,Beras Premium,14942.0
2026-02-12 18:44:55.212057,Beras Premium,15196.0
2026-02-13 18:44:55.212056,Beras Premium,14893.0
2026-02-14 18:44:55.212055,Beras Premium,14767.0
2026-02-15 18:44:55.212053,Beras Premium,15008.0
2026-02-16 18:44:55.212051,Beras Premium,14840.0
2026-02-17 18:44:55.212050,Beras Premium,14810.0
2026-02-18 18:44:55.212049,Beras Premium,14822.0
2026-02-19 18:44:55.212047,Beras Premium,14731.0
2026-02-20 18:44:55.212046,Beras Premium,15039.0
2026-02-21 18:44:55.212044,Beras Premium,15153.0
2026-02-22 18:44:55.212042,Beras Premium,14824.0
2026-02-23 18:44:55.212041,Beras Premium,14844.0
2026-02-24 18:44:55.212039,Beras Premium,14880.0
2026-02-25 18:44:55.212038,Beras Premium,15224.0
2026-02-26 18:44:55.212036,Beras Premium,15004.0
2026-02-27 18:44:55.212034,Beras Premium,15204.0
2026-02-28 18:44:55.212032,Beras Premium,15230.0
2026-03-01 18:44:55.212030,Beras Premium,15156.0
2026-03-02 18:44:55.212028,Beras Premium,15029.0
2026-03-03 18:44:55.212024,Beras Premium,15148.0
2026-03-04 18:44:55.212008,Beras Premium,14954.0
